"season","team","power_rating","offensive_rating","defensive_rating","prior_source","games_played","prior_rating"
2026,"Ohio State",27.9087278426406,NA,NA,"carryover+talent",0,27.9087278426406
2026,"Georgia",25.8642244621017,NA,NA,"carryover+talent",0,25.8642244621017
2026,"Oregon",25.7573334935327,NA,NA,"carryover+talent",0,25.7573334935327
2026,"Notre Dame",25.7142731265821,NA,NA,"carryover+talent",0,25.7142731265821
2026,"Alabama",24.8222920170994,NA,NA,"carryover+talent",0,24.8222920170994
2026,"Miami",24.1099015312795,NA,NA,"carryover+talent",0,24.1099015312795
2026,"Texas",24.0754352550577,NA,NA,"carryover+talent",0,24.0754352550577
2026,"Texas A&M",23.992524687728,NA,NA,"carryover+talent",0,23.992524687728
2026,"USC",21.9129157875011,NA,NA,"carryover+talent",0,21.9129157875011
2026,"Texas Tech",20.3523830732025,NA,NA,"carryover+talent",0,20.3523830732025
2026,"Indiana",19.8427776483994,NA,NA,"carryover+talent",0,19.8427776483994
2026,"Oklahoma",19.3699356104319,NA,NA,"carryover+talent",0,19.3699356104319
2026,"LSU",18.8809156017882,NA,NA,"carryover+talent",0,18.8809156017882
2026,"Penn State",18.5820648464098,NA,NA,"carryover+talent",0,18.5820648464098
2026,"Ole Miss",18.1698083045637,NA,NA,"carryover+talent",0,18.1698083045637
2026,"Florida",18.1079649410124,NA,NA,"carryover+talent",0,18.1079649410124
2026,"Tennessee",17.8305551774074,NA,NA,"carryover+talent",0,17.8305551774074
2026,"Michigan",17.7697694852352,NA,NA,"carryover+talent",0,17.7697694852352
2026,"Utah",16.8363511904247,NA,NA,"carryover+talent",0,16.8363511904247
2026,"Auburn",16.7018598202864,NA,NA,"carryover+talent",0,16.7018598202864
2026,"Washington",16.6846810455127,NA,NA,"carryover+talent",0,16.6846810455127
2026,"Florida State",16.5019431208321,NA,NA,"carryover+talent",0,16.5019431208321
2026,"BYU",16.0495277245419,NA,NA,"carryover+talent",0,16.0495277245419
2026,"Missouri",15.6184441229587,NA,NA,"carryover+talent",0,15.6184441229587
2026,"Clemson",15.4367955439248,NA,NA,"carryover+talent",0,15.4367955439248
2026,"Vanderbilt",15.3920544976737,NA,NA,"carryover+talent",0,15.3920544976737
2026,"Iowa",15.2739818478822,NA,NA,"carryover+talent",0,15.2739818478822
2026,"Arizona",14.086636377667,NA,NA,"carryover+talent",0,14.086636377667
2026,"South Carolina",13.6786315338347,NA,NA,"carryover+talent",0,13.6786315338347
2026,"Georgia Tech",12.6889099188683,NA,NA,"carryover+talent",0,12.6889099188683
2026,"SMU",12.6513929799251,NA,NA,"carryover+talent",0,12.6513929799251
2026,"Pittsburgh",12.5550395155029,NA,NA,"carryover+talent",0,12.5550395155029
2026,"Mississippi State",12.2073747703047,NA,NA,"carryover+talent",0,12.2073747703047
2026,"TCU",12.179858713141,NA,NA,"carryover+talent",0,12.179858713141
2026,"South Florida",11.700407032409,NA,NA,"carryover+talent",0,11.700407032409
2026,"Iowa State",11.4890476945923,NA,NA,"carryover+talent",0,11.4890476945923
2026,"Kentucky",11.4193473847741,NA,NA,"carryover+talent",0,11.4193473847741
2026,"Illinois",11.3570325477674,NA,NA,"carryover+talent",0,11.3570325477674
2026,"Arizona State",11.2276862670076,NA,NA,"carryover+talent",0,11.2276862670076
2026,"Nebraska",11.1514232130454,NA,NA,"carryover+talent",0,11.1514232130454
2026,"NC State",11.0602300290403,NA,NA,"carryover+talent",0,11.0602300290403
2026,"Kansas State",10.903067171698,NA,NA,"carryover+talent",0,10.903067171698
2026,"Rutgers",10.8440412467416,NA,NA,"carryover+talent",0,10.8440412467416
2026,"Toledo",10.4364542864267,NA,NA,"carryover+talent",0,10.4364542864267
2026,"Arkansas",10.4278620953487,NA,NA,"carryover+talent",0,10.4278620953487
2026,"Baylor",10.2766847922792,NA,NA,"carryover+talent",0,10.2766847922792
2026,"Louisville",9.94836126546532,NA,NA,"carryover+talent",0,9.94836126546532
2026,"East Carolina",9.85605904639083,NA,NA,"carryover+talent",0,9.85605904639083
2026,"James Madison",9.63756439142558,NA,NA,"carryover+talent",0,9.63756439142558
2026,"Memphis",9.31113990402585,NA,NA,"carryover+talent",0,9.31113990402585
2026,"Boise State",9.27305814514751,NA,NA,"carryover+talent",0,9.27305814514751
2026,"Houston",9.17495371278386,NA,NA,"carryover+talent",0,9.17495371278386
2026,"North Texas",9.15927583999235,NA,NA,"carryover+talent",0,9.15927583999235
2026,"Wake Forest",9.12437975731132,NA,NA,"carryover+talent",0,9.12437975731132
2026,"San Diego State",8.98738156652984,NA,NA,"carryover+talent",0,8.98738156652984
2026,"Old Dominion",8.87111048387562,NA,NA,"carryover+talent",0,8.87111048387562
2026,"Maryland",8.67678479005939,NA,NA,"carryover+talent",0,8.67678479005939
2026,"Minnesota",8.26807364309407,NA,NA,"carryover+talent",0,8.26807364309407
2026,"Michigan State",8.12638890249443,NA,NA,"carryover+talent",0,8.12638890249443
2026,"Virginia Tech",8.11809989536595,NA,NA,"carryover+talent",0,8.11809989536595
2026,"Cincinnati",7.97256207687859,NA,NA,"carryover+talent",0,7.97256207687859
2026,"Duke",7.87241094425659,NA,NA,"carryover+talent",0,7.87241094425659
2026,"Virginia",7.81095665019116,NA,NA,"carryover+talent",0,7.81095665019116
2026,"UTSA",7.7083009975228,NA,NA,"carryover+talent",0,7.7083009975228
2026,"North Carolina",7.53139720674986,NA,NA,"carryover+talent",0,7.53139720674986
2026,"Wisconsin",7.45954524659045,NA,NA,"carryover+talent",0,7.45954524659045
2026,"Northwestern",7.34295352643505,NA,NA,"carryover+talent",0,7.34295352643505
2026,"Washington State",7.11479760944561,NA,NA,"carryover+talent",0,7.11479760944561
2026,"Tulane",6.85733952885288,NA,NA,"carryover+talent",0,6.85733952885288
2026,"West Virginia",6.81074264274874,NA,NA,"carryover+talent",0,6.81074264274874
2026,"Colorado",6.51832995551497,NA,NA,"carryover+talent",0,6.51832995551497
2026,"UCF",6.30617643877137,NA,NA,"carryover+talent",0,6.30617643877137
2026,"California",6.27616330327108,NA,NA,"carryover+talent",0,6.27616330327108
2026,"Texas State",6.19070524368083,NA,NA,"carryover+talent",0,6.19070524368083
2026,"UNLV",5.84056769272553,NA,NA,"carryover+talent",0,5.84056769272553
2026,"Kansas",5.68079476882296,NA,NA,"carryover+talent",0,5.68079476882296
2026,"UCLA",5.47022162354581,NA,NA,"carryover+talent",0,5.47022162354581
2026,"Syracuse",5.45853483463928,NA,NA,"carryover+talent",0,5.45853483463928
2026,"Ohio",5.22973968719977,NA,NA,"carryover+talent",0,5.22973968719977
2026,"Purdue",5.00631519064735,NA,NA,"carryover+talent",0,5.00631519064735
2026,"Fresno State",5.00182393427058,NA,NA,"carryover+talent",0,5.00182393427058
2026,"Utah State",4.67468801230407,NA,NA,"carryover+talent",0,4.67468801230407
2026,"Stanford",4.55515873889875,NA,NA,"carryover+talent",0,4.55515873889875
2026,"Troy",4.0562890453623,NA,NA,"carryover+talent",0,4.0562890453623
2026,"Western Michigan",3.95305653288412,NA,NA,"carryover+talent",0,3.95305653288412
2026,"Temple",3.74249467337381,NA,NA,"carryover+talent",0,3.74249467337381
2026,"Wyoming",3.01445800309125,NA,NA,"carryover+talent",0,3.01445800309125
2026,"Miami (OH)",2.98827596604707,NA,NA,"carryover+talent",0,2.98827596604707
2026,"Louisiana Tech",2.98373444563177,NA,NA,"carryover+talent",0,2.98373444563177
2026,"Navy",2.96808039921886,NA,NA,"carryover+talent",0,2.96808039921886
2026,"Boston College",2.82611321938372,NA,NA,"carryover+talent",0,2.82611321938372
2026,"New Mexico",2.76283925694263,NA,NA,"carryover+talent",0,2.76283925694263
2026,"Western Kentucky",2.4813864638906,NA,NA,"carryover+talent",0,2.4813864638906
2026,"Central Michigan",2.48064209597848,NA,NA,"carryover+talent",0,2.48064209597848
2026,"Southern Miss",2.21878027316629,NA,NA,"carryover+talent",0,2.21878027316629
2026,"Hawai'i",2.14846753484611,NA,NA,"carryover",0,2.14846753484611
2026,"Idaho",2.09078193263063,NA,NA,"carryover+talent",0,2.09078193263063
2026,"Arkansas State",2.01396438821417,NA,NA,"carryover+talent",0,2.01396438821417
2026,"Army",2.00889895779967,NA,NA,"carryover+talent",0,2.00889895779967
2026,"Oregon State",2.00203732159299,NA,NA,"carryover+talent",0,2.00203732159299
2026,"Georgia Southern",1.97136671906338,NA,NA,"carryover+talent",0,1.97136671906338
2026,"Eastern Michigan",1.80938349478486,NA,NA,"carryover+talent",0,1.80938349478486
2026,"South Alabama",1.70933617588077,NA,NA,"carryover+talent",0,1.70933617588077
2026,"Sacramento State",1.50720497645859,NA,NA,"carryover+talent",0,1.50720497645859
2026,"Jacksonville State",1.45312443075101,NA,NA,"carryover+talent",0,1.45312443075101
2026,"UConn",1.43677023128774,NA,NA,"carryover+talent",0,1.43677023128774
2026,"Florida Atlantic",1.05741407937124,NA,NA,"carryover+talent",0,1.05741407937124
2026,"Northern Illinois",0.804951623363832,NA,NA,"carryover+talent",0,0.804951623363832
2026,"Marshall",0.715336964066433,NA,NA,"carryover+talent",0,0.715336964066433
